test_cost,val_cost,lml,init_kernel,left_data,cv_config,model_config,time
0.055694627639708914,0.05454212455006809,1299.1829788147297,"1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)}",2020-10-19 15:06:06.408633
0.05577621824413227,0.05459698192778454,1289.6894343182166,"1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)}",2020-10-19 15:06:34.970351
0.05563443246818937,0.054498090818128266,1303.1614117687232,"1**2 + 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 + 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)}",2020-10-19 15:07:25.887123
0.055720396269472165,0.054571007018096675,1299.1199828831295,"1**2 + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)}",2020-10-19 15:08:14.853122
5.533316694721464,7.372038284824125,-457548962.71587914,RBF(length_scale=1),1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': RBF(length_scale=1)}",2020-10-19 15:08:16.604392
0.053431180257095784,0.05520348533970317,1302.9925023044493,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1)}",2020-10-19 15:08:39.911126
0.05355200576009281,0.05496574819465303,1334.2105977681726,"1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)}",2020-10-19 15:09:18.227921
0.05350093971970436,0.05502393379098084,1324.9328000645373,"1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)}",2020-10-19 15:09:56.916868
0.05357746376256619,0.054959835219478635,1337.4423964772968,"1**2 + 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 + 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)}",2020-10-19 15:14:28.165957
0.05351948039494686,0.05499809467864077,1333.2315309357937,"1**2 + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)}",2020-10-19 15:16:31.821831
